Feature,Importance
categorical__Product ID_L52782,3.0298395493372606e-05
categorical__Product ID_L47895,3.0290575018805554e-05
categorical__Product ID_M20616,3.0277984572117145e-05
categorical__Product ID_L50341,3.025175581218696e-05
categorical__Product ID_L54602,3.018584092755042e-05
categorical__Product ID_L51843,3.006854229480487e-05
categorical__Product ID_L51824,3.0061904191488422e-05
categorical__Product ID_L51040,3.0059611163989386e-05
categorical__Product ID_L48312,3.0056688829058e-05
categorical__Product ID_M22155,3.0028212887844896e-05
categorical__Product ID_L48430,2.9954645958212584e-05
categorical__Product ID_M18969,2.990897478654278e-05
categorical__Product ID_L55006,2.9818795876646984e-05
categorical__Product ID_M22863,2.9782197056721798e-05
categorical__Product ID_L51304,2.966400894180095e-05
categorical__Product ID_M18412,2.9490983063951715e-05
categorical__Product ID_L49513,2.947926448070215e-05
categorical__Product ID_L51560,2.9447712674993368e-05
categorical__Product ID_L51921,2.944236071920277e-05
categorical__Product ID_L54382,2.940132636316578e-05
categorical__Product ID_L53942,2.9327885212956185e-05
categorical__Product ID_L48834,2.9186749676935938e-05
categorical__Product ID_L53519,2.916422295069655e-05
categorical__Product ID_M18176,2.9156923052194138e-05
categorical__Product ID_L49322,2.912131095261937e-05
categorical__Product ID_L53169,2.9105271764451322e-05
categorical__Product ID_L52688,2.8939988416543568e-05
categorical__Product ID_L52673,2.8913236274974225e-05
categorical__Product ID_L47932,2.8725814443712135e-05
categorical__Product ID_L55110,2.8719294747456575e-05
categorical__Product ID_L53852,2.871311531154284e-05
categorical__Product ID_M18545,2.87062330095768e-05
categorical__Product ID_L52566,2.870413479280038e-05
categorical__Product ID_M18247,2.868814275916575e-05
categorical__Product ID_L52542,2.868638748887579e-05
categorical__Product ID_L50582,2.8678982923246056e-05
categorical__Product ID_L55190,2.8599743557856198e-05
categorical__Product ID_L50201,2.8594315805126036e-05
categorical__Product ID_L52030,2.8558678579391818e-05
categorical__Product ID_H33905,2.8500301529517055e-05
categorical__Product ID_M21656,2.8498033383466778e-05
categorical__Product ID_L53101,2.8294931839161142e-05
categorical__Product ID_L55784,2.820799106830993e-05
categorical__Product ID_L49132,2.8130707077158166e-05
categorical__Product ID_M20494,2.8117908758057336e-05
categorical__Product ID_L54014,2.799722252344997e-05
categorical__Product ID_L48733,2.797024829381594e-05
categorical__Product ID_L49345,2.794428755429308e-05
categorical__Product ID_M19695,2.7911997830616925e-05
categorical__Product ID_L54121,2.789740163900721e-05
categorical__Product ID_M20076,2.787661460518645e-05
categorical__Product ID_L51910,2.7856873018388347e-05
categorical__Product ID_L54702,2.7826403188253977e-05
categorical__Product ID_L54452,2.7810496835500695e-05
categorical__Product ID_M21511,2.7807423494949524e-05
categorical__Product ID_L52524,2.7798468799059733e-05
categorical__Product ID_M22560,2.7793148131228644e-05
categorical__Product ID_L47583,2.770060644695202e-05
categorical__Product ID_L52567,2.7691515194890875e-05
categorical__Product ID_L54103,2.7673863698605895e-05
categorical__Product ID_L47762,2.765027148520267e-05
categorical__Product ID_L56696,2.7578656691180017e-05
categorical__Product ID_L55318,2.7535202810479226e-05
categorical__Product ID_L53078,2.751739169191962e-05
categorical__Product ID_L47436,2.75039303542738e-05
categorical__Product ID_M19825,2.7473183569235675e-05
categorical__Product ID_L51825,2.7438021053903508e-05
categorical__Product ID_L52400,2.7424241792523144e-05
categorical__Product ID_L55044,2.734094739042495e-05
categorical__Product ID_L51914,2.7303319616231497e-05
categorical__Product ID_M20385,2.7285088547312935e-05
categorical__Product ID_M19662,2.7282585702601667e-05
categorical__Product ID_L56277,2.7153291857792016e-05
categorical__Product ID_L55785,2.6893721544145963e-05
categorical__Product ID_L51481,2.6806512704857973e-05
categorical__Product ID_L55701,2.666232260661141e-05
categorical__Product ID_L53526,2.6634765723780067e-05
categorical__Product ID_L53578,2.65644842110566e-05
categorical__Product ID_L54626,2.6490844635267586e-05
categorical__Product ID_L48352,2.6461067994562603e-05
categorical__Product ID_L51793,2.6457302446798543e-05
categorical__Product ID_L52915,2.6425672720715666e-05
categorical__Product ID_L53005,2.6405295903443765e-05
categorical__Product ID_L53764,2.639152183959069e-05
categorical__Product ID_L54735,2.6311821627565354e-05
categorical__Product ID_L53870,2.630440212685135e-05
categorical__Product ID_M18929,2.630311769401447e-05
categorical__Product ID_L49588,2.622823449587603e-05
categorical__Product ID_L55396,2.6216367336489217e-05
categorical__Product ID_L49830,2.621075777659539e-05
categorical__Product ID_M19929,2.620160265765705e-05
categorical__Product ID_L56837,2.61111027690064e-05
categorical__Product ID_L52285,2.6106815186637255e-05
categorical__Product ID_L50540,2.6084618254265423e-05
categorical__Product ID_M21304,2.6077502812974184e-05
categorical__Product ID_L49486,2.6021686945129456e-05
categorical__Product ID_L52500,2.596610671072903e-05
categorical__Product ID_L52184,2.592164062342086e-05
categorical__Product ID_L49763,2.5858360272552644e-05
categorical__Product ID_L55018,2.5824923009088444e-05
categorical__Product ID_L55610,2.58160780264898e-05
categorical__Product ID_L53273,2.5798346345678912e-05
categorical__Product ID_M18976,2.5789494960138098e-05
categorical__Product ID_M18840,2.5710855701551395e-05
categorical__Product ID_L51623,2.5680738811924147e-05
categorical__Product ID_L56850,2.5641640165714943e-05
categorical__Product ID_M21996,2.5615884583609058e-05
categorical__Product ID_H34312,2.5613320773215373e-05
categorical__Product ID_L55358,2.5572954419533303e-05
categorical__Product ID_L54518,2.5549920291736936e-05
categorical__Product ID_L52255,2.55087375532372e-05
categorical__Product ID_L53148,2.55051604065268e-05
categorical__Product ID_L49343,2.5481168973612607e-05
categorical__Product ID_L50205,2.54766373434542e-05
categorical__Product ID_L47740,2.5360012889249168e-05
categorical__Product ID_M20764,2.533258957358212e-05
categorical__Product ID_L52332,2.5249701993502548e-05
categorical__Product ID_L52207,2.5136771418512647e-05
categorical__Product ID_M20449,2.5032239176204094e-05
categorical__Product ID_L54781,2.4991374524742628e-05
categorical__Product ID_L56185,2.4978192887689142e-05
categorical__Product ID_L47682,2.4965564261503213e-05
categorical__Product ID_M22144,2.4949347428123303e-05
categorical__Product ID_L53343,2.4934023232464098e-05
categorical__Product ID_L54184,2.491178049665881e-05
categorical__Product ID_M16367,2.4880374818155407e-05
categorical__Product ID_L48528,2.48726351091391e-05
categorical__Product ID_L53863,2.482060001153889e-05
categorical__Product ID_H30587,2.4804728370738603e-05
categorical__Product ID_L47306,2.4751215919459613e-05
categorical__Product ID_L52857,2.471586038676099e-05
categorical__Product ID_M21683,2.4702144578604214e-05
categorical__Product ID_L54494,2.4699584828177536e-05
categorical__Product ID_L53171,2.4694162050176996e-05
